# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGID	COGIDS	BORID	CONCEPT_IN_SOURCE
#
4482	SonghaiSenni	KNEE	háy-­kánjè	háy_kánjè	h ⁵/a j + k ⁵/a ⁿdʒ ¹/e	3679	2242 5188	0	
4483	ToroTegu	KNEE	nìŋó	nìŋó	n ¹/i ŋ ⁵/o	1065	2236	0	
4484	BenTey	KNEE	sínjì:, síŋgì:	sínjì:	s ⁵/i ⁿdʒ ¹/iː	1062	2232	3605	
4485	BankanTey	KNEE	kízì	kízì	k ⁵/i z ¹/i	1063	2232	0	
4486	Nanga	KNEE	kùnjò-kúnjô	kùnjò-kúnjô	k ¹/u ⁿdʒ ¹/o + k ⁵/u ⁿdʒ ⁵¹/o	1062	2229 2229	3605	
4487	PergeTegu	KNEE	nìŋgé	nìŋgé	n ¹/i ⁿɡ ⁵/e	1066	2236	0	
4488	Gourou	KNEE	nèŋé	nèŋé	n ¹/e ŋ ⁵/e	1066	2236	0	
4489	TogoKan	KNEE	nèŋèrè-kúⁿ	nèŋèrè-kúⁿ	n ¹/e ŋ ¹/e r ¹/e + k ⁵/ũ	1064	2236 2234	0	
4490	YornoSo	KNEE	yúŋóló	yúŋóló	j ⁵/u ŋ ⁵/o + l ⁵/o	1068	2244 2245	0	
4491	TommoSo	KNEE	ànù yóŋóló	ànù_yóŋóló	¹/a n ¹/u + j ⁵/o ŋ ⁵/o l ⁵/o	1068	2243 2244	0	
4492	DogulDom	KNEE	kúnjù-ŋ̀ (pl kúnjù yà:)	kúnjù-ŋ̀	k ⁵/u ⁿdʒ ¹/u + ŋ	1062	2229 2235	3605	
4493	TebulUre	KNEE	kúndú	kúndú	k ⁵/u ⁿd ⁵/u	1062	2229	3605	
4494	YandaDom	KNEE	kúnzú	kúnzú	k ⁵/u n z ⁵/u	1063	2239	0	
4495	BonduSo	KNEE	nà:-kínjì-ŋgè	nà:kínjì-ŋgè	n ¹/aː k ⁵/i ⁿdʒ ¹/i + ⁿɡ ¹/e	1064	2232 2234	0	
4496	Ampari	KNEE	kùjù (kùjù gé)	kùjù	k ¹/u dʒ ¹/u	1062	2229	3605	
4497	Bunoge	KNEE	kùnjúgà	kùnjúgà	k ¹/u ⁿdʒ ⁵/u + ɡ ¹/a	1062	2229 2234	3605	
4498	DonnoSo	KNEE	yóŋùnù	yóŋùnù	j ⁵/o ŋ ¹/u n ¹/u	1065	2236	0	
4499	Jamsay	KNEE	nɛ̀ŋɛ́, nɛ̀ŋɛ̀ béré	nɛ̀ŋɛ́	n ¹/ɛ ŋ ⁵/ɛ	1065	2236	0	
4500	TomoKan	KNEE	ɲùŋgòlòkùⁿ	ɲùŋgòlòkùⁿ	ɲ ¹/u ⁿɡ ¹/o + l ¹/o k ũ	1069	2236 2240	0	
4501	TiranigeDiga	KNEE	kúnjúgɔ́	kúnjúgɔ́	k ⁵/u n + dʒ ⁵/u ɡ ⁵/ɔ	1067	2239 2240	0	
4502	Mombo	KNEE	kúnjúgà	kúnjúgà	k ⁵/u n + dʒ ⁵/u ɡ ¹/a	1067	2239 2240	0	
4503	Penange	KNEE	kùnjùgà	kùnjùgà	k ¹/u n + dʒ ¹/u ɡ ¹/a	1067	2239 2240	0	
4504	Bangime	KNEE	bùjɛ̄-(ŋ̄-)kùmbɛ̀	bùjɛ̄	b ¹/u j ³/ɛ + ³/ŋ + k ¹/u ᵐb ¹/ɛ	2439	2231 0 0	59	
4505	Fulfulde	KNEE	howru	howru	h o w r u	118	2237	3606	
4506	Jenaama	KNEE	kɔ̀bɔ́	kɔ̀bɔ́	k ¹/ɔ b ⁵/ɔ	2977	2238	0	
4507	BozoHainyaxo	KNEE	huẅiⁿɲiⁿ	huẅiⁿɲiⁿ	h u w ĩ ɲ ĩ	2976	2230	3606	
4508	BozoPondorinord	KNEE	kɔgɔ	kɔgɔ	k ɔ ɡ ɔ	2977	2238	0	
4509	BozoTieyaxo	KNEE	xuⁿmuⁿuⁿ	xuⁿmuⁿuⁿ	x ũ m ũ:	2980	2246	59	
4510	BozoPondorisud	KNEE	kɔbɔ	kɔbɔ	k ɔ b ɔ	2977	2238	0	
4511	BozoKotya	KNEE	kuⁿmuⁿgu	kuⁿmuⁿgu	k ũ + m ũ ɡ u	2982	2241 2240	0	
4512	BozoTiemaCewe	KNEE	kuⁿmuⁿuⁿ	kuⁿmuⁿuⁿ	k ũ + m ũ:	2982	2241 2240	0	
4513	BozoDebo	KNEE	kogoⁿ	kogoⁿ	k o ɡ õ	2977	2238	0	
4515	BozoKorondougousud	KNEE	kwɔbɔ	kwɔbɔ	k w ɔ b ɔ	2977	2238	0	
4516	Soninke	KNEE	qúrúngò	qúrúngò	q ⁵/u r ⁵/u ⁿɡ ¹/o	2977	2241	0	
4517	Bambara	KNEE	kúⁿbéré	kúⁿbéré	k ⁵/ũ + b ⁵/e r ⁵/e	2981	2241 2240	3639	
4518	Bambara	KNEE	kúⁿbérékúⁿ	kúⁿbérékúⁿ	k ⁵/ũ + b ⁵/e r ⁵/e + k ⁵/ũ	2981	2241 2240 2241	3639	
4519	Bambara	KNEE	sḛ̀kúrú	sḛ̀kúrú	s ẽ + k ⁵/u r ⁵/u	2983	2250 2241	0	
4520	SonghaiSenni	KNEE	kànjè	kànjè	k ¹/a ⁿdʒ ¹/e	3678	5187	3605	
4521	SonghaiSenni	KNEE	gúŋgúm-éyndí	gúŋgúm-éyndí	ɡ ⁵/u ⁿɡ ⁵/u m + ⁵/e j ⁿd ⁵/i	3680	5189 2247	0	
4522	SonghaiSenni	KNEE	gólbú	gólbú	ɡ ⁵/o l + b ⁵/u	3681	2248 2249	3639	
4523	ToroSo	KNEE	yóŋgóró	yóŋgóró	j ⁵/o ⁿɡ ⁵/o + r ⁵/o	1070	2236 2245	0	
4524	ToroSo	KNEE	ɲɔ̀ŋɔ́	ɲɔ̀ŋɔ́	ɲ ¹/ɔ ŋ ⁵/ɔ	1065	2236	0	
4525	BonduSo	KNEE	nàà kínjù	nàà kínjù	n ¹/aː + k ⁵/i ⁿdʒ ¹/u	1066	2232 2229	0	
#
4526	ToroTegu	KNEEL	gùrùkú	gùrùkú	ɡ ¹/u r ¹/u + k ⁵/u	1080	2266 2267	0	
4527	BenTey	KNEEL	túŋgú-yú	túŋgú-yú	t ⁵/u ⁿɡ ⁵/u + j ⁵/u	1072	2254 2255	0	
4528	BankanTey	KNEEL	túŋg-í:	túŋg-í:	t ⁵/u ⁿɡ ⁵/iː	1072	2252	0	
4529	Nanga	KNEEL	túŋí-yí	túŋí-yí	t ⁵/u ŋ ⁵/i + j ⁵/i	1075	2254 2255	3654	
4530	PergeTegu	KNEEL	túŋgú-yɔ́	túŋgú-yɔ́	t ⁵/u ⁿɡ ⁵/u + j ⁵/ɔ	1072	2254 2255	0	
4531	Gourou	KNEEL	túŋó	túŋó	t ⁵/u ŋ ⁵/o	1075	2254	3654	
4532	Jamsay	KNEEL	téwé (person), ɔ́wwɔ́ (camel)	téwé	t ⁵/e w ⁵/e	1075	2259	3654	
4533	TogoKan	KNEEL	túŋ-ì:	túŋ-ì:	t ⁵/u ŋ ¹/iː	1075	2254	3654	
4534	YornoSo	KNEEL	túŋ-ɛ́:	túŋ-ɛ́:	t ⁵/u ŋ ⁵/ɛː	1075	2254	3654	
4535	TommoSo	KNEEL	túŋí-yɛ́	túŋí-yɛ́	t ⁵/u ŋ ⁵/i + j ⁵/ɛ	1075	2254 2255	3654	
4536	DogulDom	KNEEL	túŋ-yɛ̀	túŋ-yɛ̀	t ⁵/u ŋ + j ¹/ɛ	1075	2254 2255	3654	
4537	TebulUre	KNEEL	túnj-í: (túnj-í:-yà-, stative túŋgà)	túnj-í:	t ⁵/u ⁿdʒ + ⁵/iː	1078	2263 2264	0	
4538	YandaDom	KNEEL	túnjɔ́	túnjɔ́	t ⁵/u ⁿdʒ ⁵/ɔ	1078	2254	0	
4539	BonduSo	KNEEL	ɲàŋí-yɛ́	ɲàŋí-yɛ́	ɲ ¹/a ŋ ⁵/i + j ⁵/ɛ	1073	2256 2255	0	
4540	Bunoge	KNEEL	[[kùnjùgá kò:] mbà ] kúndè	kúndè	k ⁵/u ⁿd ¹/e	1074	2254	3649	
4541	DonnoSo	KNEEL	tú:ŋ-è:-	tú:ŋ-è:	t ⁵/uː ŋ ¹/eː	1075	2254	3654	
4542	TomoKan	KNEEL	[ɲùŋgòlò-kùⁿ húⁿ] twɛ́lí	twɛ́lí	t w ⁵/ɛ l ⁵/i	1079	2265	0	
4543	TiranigeDiga	KNEEL	yáŋ(í)-yó	yáŋ-yó	j ⁵/a ŋ + j ⁵/o	1073	2254 2255	0	
4544	Mombo	KNEEL	sómbá	sómbá	s ⁵/o ⁿb ⁵/a	1076	2260	0	
4545	Soninke	KNEEL	tùùsí	tùùsí	t ¹/u: s ⁵/i	2984	2262	3654	
4546	SonghaiSenni	KNEEL	káŋgárí	káŋgárí	k ⁵/a ⁿɡ ⁵/a r ⁵/i	3682	2261	3649	
4547	Bangime	KNEEL	kìŋɡò	kìŋɡò	k ¹/i ⁿɡ ¹/o	2441	2251	3649	
4548	Fulfulde	KNEEL	hofude	hof-ude	h o f + u d e	119	2257 2258	0	
4549	ToroSo	KNEEL	túŋì	túŋì	t ⁵/u ŋ ¹/i	1075	2254	3654	
4550	BonduSo	KNEEL	ŋɛ̀ní-yɛ̀	ŋɛ̀ní-yɛ̀	ŋ ¹/ɛ n ⁵/i + j ¹/ɛ	1073	2256 2255	0	
#
4551	ToroTegu	KNIFE	pèrú	pèrú	p ¹/e r ⁵/u	1081	2268	3671	
4552	BenTey	KNIFE	pǒ:	pǒ:	p ¹⁵/oː	1081	2268	3671	
4553	Nanga	KNIFE	pòrí	pòrí	p ¹/o r ⁵/i	1081	2268	3671	
4554	PergeTegu	KNIFE	sìrú	sìrú	s ¹/i r ⁵/u	1083	2273	3679	
4555	TogoKan	KNIFE	sí:nɛ́	sí:nɛ́	s ⁵/iː n ⁵/ɛ	1084	2277	0	
4556	YornoSo	KNIFE	pǒl	pǒl	p ¹⁵/o l	1081	2268	3671	
4557	TommoSo	KNIFE	pòlú	pòlú	p ¹/o l ⁵/u	1081	2268	3671	
4558	DogulDom	KNIFE	pòlgó, pòlògó	pòl-gó	p ¹/o l + ɡ ⁵/o	1081	2268 2271	3671	
4559	TebulUre	KNIFE	pól-gó	pól-gó	p ⁵/o l + ɡ ⁵/o	1081	2268 2271	3671	
4560	YandaDom	KNIFE	pòl	pòl	p ¹/o l	1081	2268	3671	
4561	BonduSo	KNIFE	pòlé	pòlé	p ¹/o l ⁵/e	1081	2268	3671	
4562	Bunoge	KNIFE	dólì	dólì	d ⁵/o l ¹/i	1082	211	3676	
4563	TiranigeDiga	KNIFE	tànà	tànà	t ¹/a n ¹/a	1084	2270	0	
4564	Mombo	KNIFE	tálá	tálá	t ⁵/a l ⁵/a	1082	211	3676	
4565	Bangime	KNIFE	bààⁿ (1)	bààⁿ	b ã:	2442	5029	3671	
4566	Fulfulde	KNIFE	laɓi	laɓi	l a ɓ i	120	2272	3678	
4567	Jenaama	KNIFE	dɔ̀	dɔ̀	d ¹/ɔ	2987	2270	3676	
4568	Jamsay	KNIFE	sìrú	sìrú	s ¹/i r ⁵/u	1083	2273	3679	
4569	BankanTey	KNIFE	pǒ:	pǒ:	p ¹⁵/oː	1081	2268	3671	
4570	BozoKorondougousud	KNIFE	noⁿŋoⁿ	noⁿŋoⁿ	n o	2986	2269	0	
4571	BozoKorondougousud	KNIFE	dɔɔ ~ lɔɔ	dɔɔ ~ lɔɔ	d ɔː	2987	2270	3676	
4572	BozoKorondougousud	KNIFE	naⁿmuⁿ	naⁿmuⁿ	n ã m ũ	2986	2279	0	
4573	BozoKorondougousud	KNIFE	duo	duo	d u o	2987	2270	3676	
4574	BozoKorondougousud	KNIFE	dau	dau	d a u	2987	2270	3676	
4575	BozoKorondougousud	KNIFE	naⁿmuⁿ	naⁿmuⁿ	n ã m ũ	2986	2279	0	
4576	BozoKorondougousud	KNIFE	dao	dao	d a o	2987	2270	3676	
4577	BozoKorondougousud	KNIFE	dau	dau	d a u	2987	2270	3676	
4578	BozoKorondougousud	KNIFE	dɔɔ	dɔɔ	d ɔː	2987	2270	3676	
4579	BozoKorondougousud	KNIFE	làbô	làbô	l ¹/a b ⁵¹/o	2988	2280	3678	
4580	Soninke	KNIFE	mùrú	mùrú	m ¹/u r ⁵/u	2989	2276	3679	
4581	Soninke	KNIFE	págá	págá	p ⁵/a ɡ ⁵/a	2985	2278	3671	
4582	SonghaiSenni	KNIFE	sémb-ó	sémb-ó	s ⁵/e ⁿb + ⁵/o	3683	2274 2275	0	
#
4583	Soninke	KNOW (SOMETHING)	láⁿkólóⁿ	láⁿkólóⁿ	l ⁵/ã + k ⁵/o l ⁵/õ	2991	2290 2291	0	
4584	Bangime	KNOW (SOMETHING)	sō-rè (1)	sō-rè	s ³/o + r ¹/e	2443	2281 2282	0	
4585	Fulfulde	KNOW (SOMETHING)	anndude	annd-ude	a n ⁿd + u d e	122	2284 2285	0	
4586	Jenaama	KNOW (SOMETHING)	gāàtò	gāàtò	ɡ ³¹/aː t ¹/o	2990	2286	0	
4587	BankanTey	KNOW (SOMETHING)	zùwá	zùwá	z ¹/u w ⁵/a	1085	2283	0	
4588	BenTey	KNOW (SOMETHING)	jùwɔ́	jùwɔ́	dʒ ¹/u w ⁵/ɔ	1085	2283	0	
4589	DogulDom	KNOW (SOMETHING)	tìgá	tìgá	t ¹/i ɡ ⁵/a	1087	2283	0	
4590	Nanga	KNOW (SOMETHING)	jùgɔ́	jùgɔ́	dʒ ¹/u ɡ ⁵/ɔ	1087	2283	0	
4591	TebulUre	KNOW (SOMETHING)	zùgɔ́	zùgɔ́	z ¹/u ɡ ⁵/ɔ	1087	2283	0	
4592	YandaDom	KNOW (SOMETHING)	zùwɔ́	zùwɔ́	z ¹/u w ⁵/ɔ	1085	2283	0	
4593	YornoSo	KNOW (SOMETHING)	jùgɔ́	jùgɔ́	dʒ ¹/u ɡ ⁵/ɔ	1087	2283	0	
4594	Mombo	KNOW (SOMETHING)	íɲámbó	íɲámbó	⁵/i ɲ ⁵/a + ⁿb ⁵/o	1088	2287 2288	0	
4595	Jamsay	KNOW (SOMETHING)	jùgɔ́	jùgɔ́	dʒ ¹/u ɡ ⁵/ɔ	1087	2283	0	
4596	PergeTegu	KNOW (SOMETHING)	jùgɔ́	jùgɔ́	dʒ ¹/u ɡ ⁵/ɔ	1087	2283	0	
4597	SonghaiSenni	KNOW (SOMETHING)	béy	béy	b ⁵/e j	3684	2289	0	
#
4598	Bambara	LADDER	fàrá	fàrá	f ¹/a r ⁵/a	2993	2233	3705	
4599	Bangime	LADDER	pɛ́ɛ́ⁿ	pɛ́ɛ́ⁿ	p ⁵/ɛ̃ː	2444	2293	0	
4600	Fulfulde	LADDER	ŋabbirgal	ŋabbirgal	ŋ a b b i r ɡ + a l	123	2296 2297	0	
4601	Jenaama	LADDER	tìmɔ̄gɔ̄	tìmɔ̄gɔ̄	t ¹/i m ³/ɔ ɡ ³/ɔ	2995	2299	0	
4602	Bambara	LADDER	ngárá	ngárá	ⁿɡ ⁵/a r ⁵/a	2994	5190	0	
4603	SonghaiSenni	LADDER	zíg-ó	zíg-ó	z ⁵/i ɡ + ⁵/o	3685	2300 2301	0	
4604	Bambara	LADDER	yɛ̀lɛ̀ⁿdá	yɛ̀lɛ̀ⁿdá	j ¹/ɛ l ∼/ɛ d ⁵/a	2996	2304	0	
4605	YornoSo	LADDER	bíl	bíl	b ⁵/i l	1091	2292	3705	
4606	YandaDom	LADDER	bǐl	bǐl	b ¹⁵/i l	1091	2292	3705	
4607	Penange	LADDER	bílá	bílá	b ⁵/i l ⁵/a	1091	2292	3705	
4608	Bunoge	LADDER	bílì	bílì	b ⁵/i l ¹/i	1091	2292	3705	
4609	TommoSo	LADDER	bílú	bílú	b ⁵/i l ⁵/u	1091	2292	3705	
4610	DonnoSo	LADDER	bílù	bílù	b ⁵/i l ¹/u	1091	2292	3705	
4611	BonduSo	LADDER	bín-gó\\bíní:	bín-gó	b ⁵/i n + ɡ ⁵/o	1090	2292 2294	0	
4612	BenTey	LADDER	bíní:	bíní:	b ⁵/i n ⁵/iː	1090	2292	0	
4613	PergeTegu	LADDER	bírí	bírí	b ⁵/i r ⁵/i	1091	2292	3705	
4614	Nanga	LADDER	bírⁿí	bírⁿí	b ⁵/i ∼/r̃ ⁵/i	1091	2292	3705	
4615	BankanTey	LADDER	bírⁿí:	bírⁿí:	b ⁵/i ∼/r̃ ⁵/iː	1091	2292	3705	
4616	DogulDom	LADDER	jónú	jónú	dʒ ⁵/o n ⁵/u	1092	2295	0	
4617	DogulDom	LADDER	jónù-ŋ̀	jónù-ŋ̀	dʒ ⁵/o n ¹/u + ŋ	1092	2295 2303	0	
4618	Gourou	LADDER	tèrú	tèrú	t ¹/e r ⁵/u	1093	2298	0	
4619	TebulUre	LADDER	tíníŋgó (also 'mortar'), tìnìŋgò làdǐ-ìlú-ŋgó (... roof-go.up)	tíní-ŋgó	t ⁵/i n ⁵/i + ⁿɡ ⁵/o	1092	2298 2294	0	
4620	TogoKan	LADDER	tìrí	tìrí	t ¹/i r ⁵/i	1093	2298	0	
4621	Jamsay	LADDER	tìrú	tìrú	t ¹/i r ⁵/u	1093	2298	0	
4622	ToroTegu	LADDER	tìrú	tìrú	t ¹/i r ⁵/u	1093	2298	0	
4623	TiranigeDiga	LADDER	yòwⁿ	yòwⁿ	j ¹/o ∼/w̃	1095	2302	0	
#
4624	Soninke	LAUGH	kai	kai	k a i	3001	2317	0	
4625	Bangime	LAUGH	màà	màà	m ¹/aː	2445	5030	3727	
4626	Fulfulde	LAUGH	jalude	jal-ude	dʒ a l + u d e	124	2311 2312	0	
4627	Jenaama	LAUGH	sà	sà	s ¹/a	2998	2309	0	
4628	Jamsay	LAUGH	mɔ́wⁿ mɔ̀wⁿɔ́	mɔ́wⁿ mɔ̀wⁿɔ́	m ⁵/ɔ ∼/w̃ + m ¹/ɔ ∼/w̃ ⁵/ɔ	1099	2313 2306	3745	
4629	BankanTey	LAUGH	màní	màní	m ¹/a + n ⁵/i	1097	2306 2307	3727	
4630	BonduSo	LAUGH	màndí	màndí	m ¹/a + ⁿd ⁵/i	1097	2306 2308	3727	
4631	BozoHainyaxo	LAUGH	siya	siya	s i j a	2998	2310	0	
4632	BozoPondorinord	LAUGH	sa	sa	s a	2998	2309	0	
4633	BozoTieyaxo	LAUGH	siya	siya	s i j a	2998	2310	0	
4634	BozoPondorisud	LAUGH	sa	sa	s a	2998	2309	0	
4635	BozoKotya	LAUGH	caa	caa	tʃ aː	2999	2309	0	
4636	BozoTiemaCewe	LAUGH	siya	siya	s i j a	2998	2310	0	
4637	BozoDebo	LAUGH	sa	sa	s a	2998	2309	0	
4638	BozoKorondougounord	LAUGH	sa	sa	s a	2998	2309	0	
4639	BozoKorondougousud	LAUGH	saa	saa	s aː	2998	2309	0	
4640	ToroTegu	LAUGH	mɔ̌m	mɔ̌m	m ¹⁵/ɔ + m	1099	2306 2321	3745	
4641	BenTey	LAUGH	màní	màní	m ¹/a + n ⁵/i	1097	2306 2307	3727	
4642	Nanga	LAUGH	màndí	màndí	m ¹/a + ⁿd ⁵/i	1097	2306 2308	3727	
4643	PergeTegu	LAUGH	mɔ̌:ⁿ	mɔ̌:ⁿ	m ɔ̃ː	1096	2306	3727	
4644	Gourou	LAUGH	mɔ̀wⁿɔ́	mɔ̀wⁿɔ́	m ¹/ɔ ∼/w̃ ⁵/ɔ	1096	2306	3727	
4645	TogoKan	LAUGH	mɔ̌:	mɔ̌:	m ¹⁵/ɔː	1096	2306	3727	
4646	YornoSo	LAUGH	mɔ̌:-	mɔ̌:	m ¹⁵/ɔː	1096	2306	3727	
4647	TommoSo	LAUGH	mòmó	mòmó	m ¹/o + m ⁵/o	1099	2306 2318	3745	
4648	DogulDom	LAUGH	màndé	màndé	m ¹/a + ⁿd ⁵/e	1097	2306 2308	3727	
4649	TebulUre	LAUGH	màndí (màndí-tì-)	màndí	m ¹/a + ⁿd ⁵/i	1097	2306 2308	3727	
4650	YandaDom	LAUGH	màndú	màndú	m ¹/a + ⁿd ⁵/u	1097	2306 2308	3727	
4651	Bunoge	LAUGH	mándè	mándè	m ⁵/a + ⁿd ¹/e	1097	2306 2308	3727	
4652	DonnoSo	LAUGH	mò:-ndó	mò:ndó	m ¹/oː + ⁿd ⁵/o	1097	2306 2308	3727	
4653	TomoKan	LAUGH	mòmè	mòmè	m ¹/o + m ¹/e	1099	2306 2319	3745	
4654	TiranigeDiga	LAUGH	mándó	mándó	m ⁵/a + ⁿd ⁵/o	1097	2306 2308	3727	
4655	Mombo	LAUGH	mándú mándè	mándú_mándè	m ⁵/a + ⁿd ⁵/u + m ⁵/a + ⁿd ¹/e	1097	2306 2308 2314 2315	0	
4656	Penange	LAUGH	mándé	mándé	m ⁵/a + ⁿd ⁵/e	1097	2306 2308	3727	
4657	SonghaiSenni	LAUGH	há:rú	há:rú	h ⁵/aː r ⁵/u	3687	2316	0	
4658	Bambara	LAUGH	yeleⁿ	yeleⁿ	j e l ẽ	2997	2305	0	
4659	SonghaiSenni	LAUGH	múmúsú	múmúsú	m ⁵/u + m ⁵/u s ⁵/u	3686	5376 5377	3745	
4660	ToroSo	LAUGH	mòy mɔ́nɛ́	mòy mɔ́nɛ́	m ¹/o j + m ⁵/ɔ n ⁵/ɛ	1099	2320 2306	3745	
4661	ToroSo	LAUGH	mùmɔ̀-j	mùmɔ̀-j	m ¹/u m ¹/ɔ + dʒ	1102	2306 2323	3727	
4662	BonduSo	LAUGH	màní	màní	m ¹/a n ⁵/i	1096	2306	3727	
#
4663	SonghaiSenni	LEAF	kò:s-ò	kò:s-ò	k ¹/oː s + ¹/o	3689	5192 2328	0	
4664	Bangime	LEAF	pūjⁿɛ̀	pūjⁿɛ̀	p ³/u ∼/j̃ ¹/ɛ	2447	5031	0	
4665	Fulfulde	LEAF	haako	haako	h aː k o	126	2326	0	
4666	Jenaama	LEAF	dūwɔ̄ (1)	dūwɔ̄	d ³/u w ³/ɔ	3005	2324	3785	
4667	Jamsay	LEAF	kúrɔ́	kúrɔ́	k ⁵/u r ⁵/ɔ	1103	2327	0	
4668	BozoDebo	LEAF	dɔɔ	dɔɔ	d ɔː	3003	2324	3771	
4669	BozoHainyaxo	LEAF	lala	lala	l a l a	3004	2322	3772	
4670	BozoKorondougounord	LEAF	duɔ	duɔ	d u ɔ	3003	2324	3771	
4671	BozoKorondougousud	LEAF	duɔ	duɔ	d u ɔ	3003	2324	3771	
4672	BozoKotya	LEAF	dɔɔ	dɔɔ	d ɔː	3003	2324	3771	
4673	BozoPondorinord	LEAF	duɔ	duɔ	d u ɔ	3003	2324	3771	
4674	BozoPondorisud	LEAF	duɔ	duɔ	d u ɔ	3003	2324	3771	
4675	BozoTieyaxo	LEAF	lɛlɛ	lɛlɛ	l ɛ l ɛ	3004	2322	3772	
4676	BozoTiemaCewe	LEAF	dara	dara	d a r a	3003	218	3771	
4677	Ampari	LEAF	kòwá	kòwá	k ¹/o w ⁵/a	1103	2319	0	
4678	BankanTey	LEAF	jɛ̀ndɛ̂:	jɛ̀ndɛ̂:	dʒ ¹/ɛ ⁿd ⁵¹/ɛː	1106	2322	3771	
4679	BenTey	LEAF	jɛ̀lɛ̂:	jɛ̀lɛ̂:	dʒ ¹/ɛ l ⁵¹/ɛː	1106	2322	3771	
4680	Bunoge	LEAF	kóbà	kóbà	k ⁵/o b ¹/a	1103	2319	0	
4681	DogulDom	LEAF	kîl, kómbò	kómbò	k ⁵/o ⁿb ¹/o	1103	2319	0	
4682	BonduSo	LEAF	kòmbá-ŋgó	kòmbá-ŋgó	k ¹/o ⁿb ⁵/a + ⁿɡ ⁵/o	1103	2319 2323	0	
4683	Nanga	LEAF	úwâ	úwâ	⁵/u w ⁵¹/a	1110	2319	3785	
4684	TebulUre	LEAF	kúlá	kúlá	k ⁵/u l ⁵/a	1103	2327	0	
4685	TommoSo	LEAF	núyɔ́	núyɔ́	n ⁵/u j ⁵/ɔ	1109	2325	0	
4686	ToroTegu	LEAF	kɔ̀tɔ́	kɔ̀tɔ́	k ¹/ɔ t ⁵/ɔ	1103	2327	0	
4687	YornoSo	LEAF	lɛ̂:	lɛ̂:	l ⁵¹/ɛː	1107	2330	3772	
4688	DonnoSo	LEAF	núŋɔ̀	núŋɔ̀	n ⁵/u ŋ ¹/ɔ	1109	2325	0	
4689	Mombo	LEAF	kúbɛ̀	kúbɛ̀	k ⁵/u b ¹/ɛ	1103	2319	0	
4690	Penange	LEAF	kɔ̀bɛ̀	kɔ̀bɛ̀	k ¹/ɔ b ¹/ɛ	1103	2319	0	
4691	TiranigeDiga	LEAF	kómbá	kómbá	k ⁵/o ⁿb ⁵/a	1103	2319	0	
4692	PergeTegu	LEAF	kúrɔ́	kúrɔ́	k ⁵/u r ⁵/ɔ	1103	2327	0	
4693	TogoKan	LEAF	kúrɔ́	kúrɔ́	k ⁵/u r ⁵/ɔ	1103	2327	0	
4694	TomoKan	LEAF	kɔ̀w	kɔ̀w	k ¹/ɔ w	1103	2329	0	
4695	YandaDom	LEAF	kùlà	kùlà	k ¹/u l ¹/a	1103	2327	0	
4696	Bambara	LEAF	fúrá	fúrá	f ⁵/u r ⁵/a	3002	5191	0	
4697	Soninke	LEAF	dárè	dárè	d ⁵/a r ¹/e	3003	218	3771	
4698	ToroSo	LEAF	líyɛ́	líyɛ́	l ⁵/i j ⁵/ɛ	1104	2330	0	
4699	ToroSo	LEAF	kùrɔ	kùrɔ	k ¹/u r ɔ	1103	2327	0	
4700	BonduSo	LEAF	kɔ̀mbá-ŋ	kɔ̀mbá-ŋ	k ∼¹/ɔ b ⁵/a + ŋ	1103	2319 2331	0	
#
4701	Bangime	LEAVE	ɡòmbè	ɡòmbè	ɡ ¹/o ⁿb ¹/e	2448	2333	60	
4702	Fulfulde	LEAVE	wittude	witt-ude	w i t t + u d e	127	5310 2339	0	
4703	Jenaama	LEAVE	ā-bày	ā-bày	³/a + b ¹/a j	3008	2340 2341	0	
4704	Jamsay	LEAVE	dàɣá	dàɣá	d ¹/a ɣ ⁵/a	1114	2336	60	
4705	ToroTegu	LEAVE	pású	pású	p ⁵/a s ⁵/u	1116	2338	0	
4706	BenTey	LEAVE	dùwɔ́	dùwɔ́	d ¹/u w ⁵/ɔ	1114	2334	60	
4707	BankanTey	LEAVE	dùwá tí	dùwá_tí	d ¹/u w ⁵/a + t ⁵/i	1114	2334 2335	60	
4708	TogoKan	LEAVE	dàgá	dàgá	d ¹/a ɡ ⁵/a	1114	2336	60	
4709	YornoSo	LEAVE	dàgá	dàgá	d ¹/a ɡ ⁵/a	1114	2336	60	
4710	TommoSo	LEAVE	pádá	pádá	p ⁵/a d ⁵/a	1116	2338	0	
4711	DogulDom	LEAVE	jùmbé	jùmbé	dʒ ¹/u ⁿb ⁵/e	1114	2334	60	
4712	TebulUre	LEAVE	dògɔ́ (dògɔ́-tì-)	dògɔ́	d ¹/o ɡ ⁵/ɔ	1114	2336	60	
4713	BonduSo	LEAVE	dɔ̀gɛ́, dɔ̀gɛ́ sí-yɛ́	dɔ̀gɛ́	d ¹/ɔ ɡ ⁵/ɛ	1114	2336	60	
4714	Bunoge	LEAVE	mɛ́ŋɛ̀	mɛ́ŋɛ̀	m ⁵/ɛ ŋ ¹/ɛ	1115	2337	0	
4715	DonnoSo	LEAVE	pádà	pádà	p ⁵/a d ¹/a	1116	2338	0	
4716	TiranigeDiga	LEAVE	díyɔ́	díyɔ́	d ⁵/i j ⁵/ɔ	1114	2334	0	
